Category id,Vendor ID,Product Type,Operator,Circle,RTP Type,Product Name,Product Code,Description,Additional Description,Rate In Ruppes,Vendor Rate,Discount,Page Title,Page Keywords,Page Description
2,1,Featured,Jio, Mumbai,y,9222243624,NW1049,Description,Additional Description,2500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
2,1,Featured,Jio, Mumbai,y,8822472288,NW1050,Description,Additional Description,2000,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
2,1,Featured,Jio, Mumbai,y,8822512288,NW1051,Description,Additional Description,2000,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
2,1,Featured,Jio, Mumbai,y,8822572288,NW1052,Description,Additional Description,2000,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,9835621313,NW1053,Description,Additional Description,1500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,9905481313,NW1054,Description,Additional Description,1500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,9693521313,NW1055,Description,Additional Description,1500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,9693211313,NW1056,Description,Additional Description,1500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,9693061313,NW1057,Description,Additional Description,1500,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7856981313,NW1058,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7857011313,NW1059,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7061851313,NW1060,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7061551313,NW1061,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7061591313,NW1062,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Jio, Mumbai,y,7061881313,NW1063,Description,Additional Description,1200,100,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
